nsamples	PRI.E.t	PRI.Psi	PRI.cv	PRI.div.model	PRI.model	PRI.omega	PRI.t.1	PRI.t.2	PRI.t.3	prob_psi_1	prob_psi_2	prob_psi_3
200000	0.017569582578	2.244	0.26006625369	2.312	1.0	0.00178828051499	0.0176490299921	0.020629390483	0.0144303272588	0.136	0.484	0.38
400000	0.0175333136189	2.24	0.248487575716	2.357	1.0	0.00162560268641	0.0174420178112	0.0206093993116	0.014548523734	0.135	0.49	0.375
600000	0.0174669611823	2.28	0.250669486779	2.288	1.0	0.00164264142344	0.0173280062127	0.0206520013953	0.0144208759388	0.126	0.468	0.406
800000	0.0174873984118	2.269	0.251519827368	2.335	1.0	0.00164569886362	0.017350292073	0.0206731937485	0.0144387094141	0.127	0.477	0.396
1000000	0.017453083614	2.266	0.24635000168	2.349	1.0	0.00158968283719	0.0173042615956	0.0205962422446	0.0144587470017	0.131	0.472	0.397
1200000	0.0173757128541	2.265	0.244148210878	2.326	1.0	0.00155173469359	0.0172772430292	0.0204527751091	0.014397120424	0.128	0.479	0.393
1400000	0.0173864927652	2.267	0.244486573692	2.321	1.0	0.00155488884403	0.0172088557815	0.020514066786	0.0144365557282	0.125	0.483	0.392
1600000	0.0174599599594	2.259	0.24197740172	2.332	1.0	0.00154332765712	0.0173035970752	0.0205958583051	0.0144804244978	0.125	0.491	0.384
1800000	0.0173196769281	2.266	0.245394624802	2.342	1.0	0.00156897248337	0.0170843497442	0.0205694439513	0.0143052370889	0.118	0.498	0.384
2000000	0.017248643005	2.261	0.246007745614	2.336	1.0	0.00156224535273	0.0170741398193	0.0204901668498	0.0141816223459	0.125	0.489	0.386
2200000	0.0171744427048	2.265	0.247486144799	2.334	1.0	0.00156460667434	0.0170480098248	0.0203725907371	0.0141027275527	0.124	0.487	0.389
2400000	0.0171393975759	2.265	0.247434830278	2.336	1.0	0.00155477981172	0.0170338899515	0.0203244560535	0.0140598467227	0.123	0.489	0.388
2600000	0.017174475889	2.271	0.248278892759	2.329	1.0	0.00155991712847	0.0170623742782	0.0203733685375	0.0140876848515	0.118	0.493	0.389
2800000	0.0171493306456	2.27	0.24675107773	2.332	1.0	0.00154310732636	0.0169933557427	0.0203321901892	0.0141224460048	0.122	0.486	0.392
3000000	0.0171078313984	2.284	0.248216526464	2.299	1.0	0.00154649500517	0.0168899858417	0.0203544049329	0.0140791034204	0.118	0.48	0.402
3200000	0.0171063667359	2.28	0.246235175237	2.292	1.0	0.00152476561596	0.0169186323445	0.0203315104863	0.014068957377	0.12	0.48	0.4
3400000	0.017121278348	2.278	0.242996652957	2.278	1.0	0.00148913265424	0.0168824123167	0.0203439767944	0.014137445933	0.125	0.472	0.403
3600000	0.0170288883625	2.29	0.245080883438	2.277	1.0	0.0014943260937	0.0167656083157	0.020229877854	0.0140911789176	0.119	0.472	0.409
3800000	0.0170351526024	2.293	0.244310232329	2.264	1.0	0.00148540515091	0.0167659066908	0.0202281015076	0.0141114496088	0.12	0.467	0.413
4000000	0.0169841025619	2.293	0.244709453658	2.275	1.0	0.00148360893699	0.0166671644863	0.0201794315211	0.0141057116784	0.121	0.465	0.414
