nsamples	PRI.E.t	PRI.Psi	PRI.cv	PRI.div.model	PRI.model	PRI.omega	PRI.t.1	PRI.t.2	PRI.t.3	prob_psi_1	prob_psi_2	prob_psi_3
200000	0.0184344830811	1.931	0.187396962527	2.317	1.332	0.00126810716733	0.01826795416	0.0208878133978	0.0161476816856	0.342	0.385	0.273
400000	0.0183496929973	1.943	0.187963369418	2.342	1.338	0.00126520026404	0.0181809064839	0.0208638587688	0.0160043137393	0.336	0.385	0.279
600000	0.0181898947565	1.951	0.184885569342	2.328	1.333	0.00122323667976	0.0180880365797	0.0206564959397	0.01582515175	0.337	0.375	0.288
800000	0.0181833863549	1.947	0.182250454071	2.328	1.334	0.00117017324249	0.018065812408	0.0205863944444	0.0158979522121	0.339	0.375	0.286
1000000	0.0181400291127	1.936	0.180645515697	2.324	1.348	0.00117883225086	0.0179754533315	0.0205415732121	0.0159030607944	0.346	0.372	0.282
1200000	0.0181399806099	1.925	0.182285754051	2.35	1.359	0.00118417463093	0.0180216334378	0.0205843623478	0.015813946044	0.343	0.389	0.268
1400000	0.0180898940002	1.925	0.178991681023	2.331	1.37	0.00114739222537	0.0179805533372	0.0204912838184	0.0157978448449	0.347	0.381	0.272
1600000	0.0180033373917	1.928	0.179710660526	2.348	1.366	0.00114939827229	0.0178898485176	0.0204257306435	0.0156944330138	0.343	0.386	0.271
1800000	0.0179403755806	1.946	0.184009093196	2.347	1.357	0.00119500474057	0.0178018059295	0.0204881430396	0.0155311777727	0.336	0.382	0.282
2000000	0.0178247584109	1.95	0.184873131095	2.339	1.356	0.0011749237499	0.0177280587976	0.0203603230388	0.0153858933962	0.334	0.382	0.284
2200000	0.0177626065739	1.954	0.184051391386	2.323	1.348	0.00114965610381	0.0176357583485	0.0202689419482	0.015383119425	0.336	0.374	0.29
2400000	0.0176880942835	1.929	0.178221044679	2.31	1.354	0.0010964024182	0.0175805355533	0.0200750816561	0.0154086656411	0.349	0.373	0.278
2600000	0.017693302519	1.95	0.18295990858	2.316	1.356	0.00113278611429	0.0174991958825	0.0201754931978	0.0154052184768	0.341	0.368	0.291
2800000	0.0176782958736	1.946	0.182902678062	2.306	1.357	0.00113417208279	0.0174420937427	0.020171308314	0.0154214855641	0.345	0.364	0.291
3000000	0.0176508823565	1.956	0.186305393268	2.299	1.354	0.00115421417314	0.0174186203519	0.020206085029	0.0153279416886	0.34	0.364	0.296
3200000	0.0176879046638	1.96	0.186967683777	2.304	1.35	0.001164708648	0.0174310380641	0.020270942389	0.0153617335382	0.338	0.364	0.298
3400000	0.0176883672483	1.955	0.185586317405	2.305	1.351	0.00114981845464	0.017449311586	0.0202512418988	0.0153645482602	0.34	0.365	0.295
3600000	0.0176509275476	1.945	0.184029716058	2.3	1.354	0.00113254724017	0.0173969839226	0.0201786841717	0.0153771145485	0.346	0.363	0.291
3800000	0.0176123138189	1.941	0.181549980006	2.307	1.351	0.0011052089605	0.0173855215241	0.0200879428455	0.0153634770871	0.346	0.367	0.287
4000000	0.0175644322441	1.938	0.179986380645	2.313	1.347	0.00108976076989	0.0173347055839	0.0200177138518	0.0153408772966	0.346	0.37	0.284
4200000	0.0174806360864	1.937	0.180037744643	2.307	1.355	0.00108647705041	0.0172285606587	0.0199451129514	0.0152682346491	0.348	0.367	0.285
4400000	0.0174683686103	1.931	0.177037703945	2.304	1.355	0.00106364823715	0.0172109217886	0.0198907890418	0.0153033950006	0.35	0.369	0.281
4600000	0.0174943088774	1.938	0.176424951602	2.312	1.354	0.0010583576013	0.0172434194603	0.0199159571175	0.0153235500545	0.347	0.368	0.285
4800000	0.0174088801227	1.943	0.175014143627	2.299	1.352	0.00102876200116	0.0171902124942	0.0197898472868	0.0152465805871	0.348	0.361	0.291
5000000	0.0174140479992	1.938	0.172458270316	2.298	1.354	0.00101117231979	0.0172016771346	0.0197590207926	0.0152814460705	0.35	0.362	0.288
5200000	0.017396811221	1.94	0.1721699497	2.292	1.349	0.00100580589693	0.0172172304862	0.019720762915	0.0152524402619	0.35	0.36	0.29
5400000	0.0174254899972	1.94	0.170728196678	2.274	1.348	0.00100146729436	0.0172453482132	0.0197477463377	0.0152833754408	0.353	0.354	0.293
5600000	0.0173970366782	1.938	0.171716549842	2.268	1.347	0.00101810064175	0.0172126283423	0.0197487808106	0.0152297008818	0.355	0.352	0.293
5800000	0.0174358086758	1.932	0.170384693977	2.252	1.354	0.00100473794657	0.0172785688906	0.0197519655805	0.0152768915561	0.36	0.348	0.292
6000000	0.017432670975	1.922	0.169769638465	2.251	1.358	0.00100081481723	0.0172365978479	0.0197677901366	0.0152936249405	0.365	0.348	0.287
6200000	0.017464071405	1.931	0.171013640167	2.247	1.353	0.00101119792968	0.0172456064413	0.0198287004233	0.0153179073503	0.362	0.345	0.293
6400000	0.017497687206	1.939	0.172133719285	2.242	1.35	0.00102294593011	0.0172906821738	0.0198898679333	0.0153125115108	0.36	0.341	0.299
6600000	0.017466353608	1.946	0.1736121406	2.262	1.35	0.00103454402888	0.017220900409	0.0198957490462	0.0152824113689	0.352	0.35	0.298
6800000	0.017450213463	1.942	0.173590781101	2.254	1.351	0.00103415528725	0.0172032641678	0.0198662253114	0.0152811509098	0.355	0.348	0.297
7000000	0.0174155981127	1.939	0.171636074629	2.254	1.352	0.0010148036368	0.0171552252628	0.01980928972	0.0152822793553	0.356	0.349	0.295
